Output_sne,lat,lng,Country_Code,Type,Population,Desamb_Phase,input_sne,source
New York,43.00035,-75.4999,US,A,19274244,fuzzySWHighMatch2,new york,9_year_old_girl_reported_to_be_latest_US_swine_flu_death
Dar es Salaam,-6.82349,39.26951,TZ,P,2698652,fuzzySWHighMatch1,dar es salaam,African_leaders_start_drive_to_eradicate_malaria
Tanzania,-6.0,35.0,TZ,A,56318348,fuzzySWHighMatch1,tanzania,African_leaders_start_drive_to_eradicate_malaria
Zanzibar,-6.16394,39.19793,TZ,P,403658,fuzzySWHighMatch1,zanzibar,African_leaders_start_drive_to_eradicate_malaria
United States,39.76,-98.5,US,A,327167434,resolvedByAliace,Us,African_leaders_start_drive_to_eradicate_malaria
Ames,42.03471,-93.61994,US,P,65060,fuzzySWHighMatch2,ames,Agriculture_Department_investigating_possible_U.S._case_of_mad_cow_disease
Iowa,42.00027,-93.50049,US,A,2955010,fuzzySWHighMatch2,iowa,Agriculture_Department_investigating_possible_U.S._case_of_mad_cow_disease
United Kingdom,54.75844,-2.69531,GB,A,66488991,fuzzySWHighMatch1,united kingdom,Agriculture_Department_investigating_possible_U.S._case_of_mad_cow_disease
Canada,60.10867,-113.64258,CA,A,37058856,fuzzySWHighMatch1,canada,Agriculture_Department_investigating_possible_U.S._case_of_mad_cow_disease
Washington,47.50012,-120.50147,US,A,6271775,fuzzySWHighMatch1,washington,Agriculture_Department_investigating_possible_U.S._case_of_mad_cow_disease
Sweden,62.0,15.0,SE,A,10183175,fuzzySWHighMatch1,sweden,Agriculture_Department_investigating_possible_U.S._case_of_mad_cow_disease
United Kingdom,54.75844,-2.69531,GB,A,66488991,resolvedByAliace,Uk,Agriculture_Department_investigating_possible_U.S._case_of_mad_cow_disease
Hueytown,33.45122,-86.99666,US,P,15710,fuzzySWHighMatch1,hueytown,"Alabama_postal_workers_and_customers_become_ill,_suspicious_substance_found"
Alabama,32.75041,-86.75026,US,A,4530315,fuzzySWHighMatch1,alabama,"Alabama_postal_workers_and_customers_become_ill,_suspicious_substance_found"
Birmingham,52.48048,-1.89823,GB,A,1124569,fuzzySWHighMatch1,birmingham,"Alabama_postal_workers_and_customers_become_ill,_suspicious_substance_found"
Pennsylvania,40.8,-77.7,US,A,12440621,fuzzySWHighMatch1,pennsylvania,Alarm_sounded_over_US_honey_bee_die-off
United States,39.76,-98.5,US,A,327167434,fuzzySWHighMatch1,united states,Alarm_sounded_over_US_honey_bee_die-off
Canada,60.10867,-113.64258,CA,A,37058856,fuzzySWHighMatch1,canada,Alarm_sounded_over_US_honey_bee_die-off
Georgia,32.75042,-83.50018,US,A,8975842,fuzzySWHighMatch1,georgia,Alarm_sounded_over_US_honey_bee_die-off
Oklahoma,35.49209,-97.50328,US,A,3547049,fuzzySWHighMatch1,oklahoma,Alarm_sounded_over_US_honey_bee_die-off
Wisconsin,44.50024,-90.00041,US,A,5535168,fuzzySWHighMatch1,wisconsin,Alarm_sounded_over_US_honey_bee_die-off
California,37.25022,-119.75126,US,A,39512223,fuzzySWHighMatch1,california,Alarm_sounded_over_US_honey_bee_die-off
Angola,-12.5,18.5,AO,A,30809762,fuzzySWHighMatch1,angola,"Angola:_Marburg_virus_still_spreading,_180_dead"
Zaire,-6.58717,13.51966,AO,A,567225,fuzzySWHighMatch1,zaire,"Angola:_Marburg_virus_still_spreading,_180_dead"
Mozambique,-18.25,35.0,MZ,A,29495962,fuzzySWHighMatch1,mozambique,"Angola:_Marburg_virus_still_spreading,_180_dead"
Luanda,-8.91667,13.33924,AO,A,6542942,fuzzySWHighMatch1,luanda,"Angola:_Marburg_virus_still_spreading,_180_dead"
Midland,31.86917,-102.03162,US,A,169983,fuzzySWHighMatch1,midland,Anthrax_scare_closes_Michigan_newspaper_office
Michigan,44.25029,-85.50033,US,A,9883360,fuzzySWHighMatch1,michigan,Anthrax_scare_closes_Michigan_newspaper_office
Lansing,42.73253,-84.55553,US,P,115056,fuzzySWHighMatch1,lansing,Anthrax_scare_closes_Michigan_newspaper_office
United States,39.76,-98.5,US,A,327167434,resolvedByAliace,Usa,Anthrax_scare_closes_Michigan_newspaper_office
India,22.0,79.0,IN,A,1352617328,fuzzySWHighMatch1,india,Asian_monsoon_rains_force_millions_to_flee
Nepal,28.0,84.0,NP,A,28087871,fuzzySWHighMatch1,nepal,Asian_monsoon_rains_force_millions_to_flee
Bangladesh,24.0,90.0,BD,A,161356039,fuzzySWHighMatch1,bangladesh,Asian_monsoon_rains_force_millions_to_flee
Bihar,25.75,85.75,IN,A,104099452,fuzzySWHighMatch1,bihar,Asian_monsoon_rains_force_millions_to_flee
Uttar Pradesh,27.25,80.75,IN,A,199812341,fuzzySWHighMatch1,uttar pradesh,Asian_monsoon_rains_force_millions_to_flee
Gondra,26.6372,80.9103,IN,P,0,fuzzySWHighMatch1,gondra,Asian_monsoon_rains_force_millions_to_flee
Indore,22.71792,75.8333,IN,P,1837041,fuzzySWHighMatch1,indore,Asian_monsoon_rains_force_millions_to_flee
Mexico,23.0,-102.0,MX,A,126190788,fuzzySWHighMatch1,mexico,At_least_71_deaths_in_Mexico_%27likely_linked%27_to_swine_flu_outbreak
Mexico City,19.42847,-99.12766,MX,P,12294193,fuzzySWHighMatch1,mexico city,At_least_71_deaths_in_Mexico_%27likely_linked%27_to_swine_flu_outbreak
United States,39.76,-98.5,US,A,327167434,fuzzySWHighMatch1,united states,At_least_71_deaths_in_Mexico_%27likely_linked%27_to_swine_flu_outbreak
New Zealand,-42.0,174.0,NZ,A,4885500,fuzzySWHighMatch1,new zealand,At_least_71_deaths_in_Mexico_%27likely_linked%27_to_swine_flu_outbreak
Kenya,1.0,38.0,KE,A,51393010,fuzzySWHighMatch1,kenya,At_least_nine_dead_after_cholera_outbreak_in_Kenyan_slum
Nairobi,-1.28333,36.83333,KE,A,3138369,fuzzySWHighMatch1,nairobi,At_least_nine_dead_after_cholera_outbreak_in_Kenyan_slum
Mukuru,6.3335,9.9605,CM,P,0,fuzzySWHighMatch1,mukuru,At_least_nine_dead_after_cholera_outbreak_in_Kenyan_slum
Auckland,-36.85,174.78333,NZ,A,444100,fuzzySWHighMatch1,auckland,Auckland_Zoo_otter_Jin_has_been_found_alive
Gold Coast,-28.00029,153.43088,AU,P,591473,fuzzySWHighMatch1,gold coast,Australia_appeals_for_no_execution_in_Indonesian_drug_case
Australia,-25.0,135.0,AU,A,24992369,fuzzySWHighMatch1,australia,Australia_appeals_for_no_execution_in_Indonesian_drug_case
Bali,-8.5,115.0,ID,A,3890757,fuzzySWHighMatch2,bali,Australia_appeals_for_no_execution_in_Indonesian_drug_case
Jakarta,-6.2182,106.8584,ID,A,9953016,fuzzySWHighMatch1,jakarta,Australia_appeals_for_no_execution_in_Indonesian_drug_case
Indonesia,-5.0,120.0,ID,A,267663435,fuzzySWHighMatch1,indonesia,Australia_appeals_for_no_execution_in_Indonesian_drug_case
Australia,-25.0,135.0,AU,A,24992369,fuzzySWHighMatch1,australia,Australian_frog_is_rediscovered_after_17_years
Mareeba,-16.99096,145.42306,AU,P,11339,fuzzySWHighMatch1,mareeba,Australian_frog_is_rediscovered_after_17_years
Queensland,-20.0,145.0,AU,A,5052800,fuzzySWHighMatch1,queensland,Australian_frog_is_rediscovered_after_17_years
Egypt,27.0,30.0,EG,A,98423595,fuzzySWHighMatch1,egypt,Avian_Flu_is_confirmed_in_Egypt
Cairo,30.06263,31.24967,EG,P,9606916,fuzzySWHighMatch1,cairo,Avian_Flu_is_confirmed_in_Egypt
Giza,30.00944,31.20861,EG,P,4367343,fuzzySWHighMatch2,giza,Avian_Flu_is_confirmed_in_Egypt
Canada,60.10867,-113.64258,CA,A,37058856,fuzzySWHighMatch1,canada,Avian_flu_found_in_eastern_Canada
Prince Edward Island,46.39808,-63.29844,CA,A,139089,fuzzySWHighMatch1,prince edward island,Avian_flu_found_in_eastern_Canada
O'Leary,46.71685,-64.23204,CA,P,0,fuzzySWHighMatch2,o'leary,Avian_flu_found_in_eastern_Canada
Las Vegas,36.17497,-115.13722,US,P,623747,fuzzySWHighMatch2,las vegas,B.B._King%27s_daughters_allege_blues_musician_was_poisoned
Nevada,39.25021,-116.75119,US,A,2399532,fuzzySWHighMatch1,nevada,B.B._King%27s_daughters_allege_blues_musician_was_poisoned
Atlanta,33.749,-84.38798,US,P,463878,fuzzySWHighMatch1,atlanta,Bacterial_meningitis_possibly_spread_on_AirTran_flight
Georgia,32.75042,-83.50018,US,A,8975842,fuzzySWHighMatch1,georgia,Bacterial_meningitis_possibly_spread_on_AirTran_flight
Wichita,37.69224,-97.33754,US,P,389965,fuzzySWHighMatch1,wichita,Bacterial_meningitis_possibly_spread_on_AirTran_flight
Kansas,38.50029,-98.50063,US,A,2740759,fuzzySWHighMatch1,kansas,Bacterial_meningitis_possibly_spread_on_AirTran_flight
Toronto,43.70011,-79.4163,CA,P,2600000,fuzzySWHighMatch1,toronto,Bacterial_outbreak_forces_closure_of_Toronto_hospital_neo-natal_unit
Canada,60.10867,-113.64258,CA,A,37058856,fuzzySWHighMatch1,canada,Bacterial_outbreak_forces_closure_of_Toronto_hospital_neo-natal_unit
Ontario,49.25014,-84.49983,CA,A,12861940,fuzzySWHighMatch1,ontario,Bacterial_outbreak_forces_closure_of_Toronto_hospital_neo-natal_unit
Buffalo,42.88645,-78.87837,US,P,258071,fuzzySWHighMatch1,buffalo,Bacterial_outbreak_forces_closure_of_Toronto_hospital_neo-natal_unit
New York,43.00035,-75.4999,US,A,19274244,fuzzySWHighMatch2,new york,Bacterial_outbreak_forces_closure_of_Toronto_hospital_neo-natal_unit
United States,39.76,-98.5,US,A,327167434,fuzzySWHighMatch1,united states,Bacterial_outbreak_forces_closure_of_Toronto_hospital_neo-natal_unit
Pakistan,30.0,70.0,PK,A,212215030,fuzzySWHighMatch1,pakistan,Bad_weather_makes_life_tougher_for_quake_survivors
Jammu and Kashmir,33.5329,75.40781,IN,A,12258433,fuzzySWHighMatch1,jammu and kashmir,Bad_weather_makes_life_tougher_for_quake_survivors
Australia,-25.0,135.0,AU,A,24992369,fuzzySWHighMatch1,australia,Bad_weather_makes_life_tougher_for_quake_survivors
France,46.0,2.0,FR,A,66987244,fuzzySWHighMatch1,france,Bad_weather_makes_life_tougher_for_quake_survivors
Japan,35.68536,139.75309,JP,A,126529100,fuzzySWHighMatch1,japan,Bad_weather_makes_life_tougher_for_quake_survivors
Jordan,31.0,36.0,JO,A,9956011,fuzzySWHighMatch1,jordan,Bad_weather_makes_life_tougher_for_quake_survivors
China,35.0,105.0,CN,A,1411778724,fuzzySWHighMatch1,china,Bad_weather_makes_life_tougher_for_quake_survivors
Russia,60.0,100.0,RU,A,144478050,fuzzySWHighMatch1,russia,Bad_weather_makes_life_tougher_for_quake_survivors
Iran,32.0,53.0,IR,A,81800269,fuzzySWHighMatch2,iran,Bad_weather_makes_life_tougher_for_quake_survivors
Syria,35.0,38.0,SY,A,16906283,fuzzySWHighMatch1,syria,Bad_weather_makes_life_tougher_for_quake_survivors
United States,39.76,-98.5,US,A,327167434,resolvedByAliace,Us,Bad_weather_makes_life_tougher_for_quake_survivors
United Kingdom,54.75844,-2.69531,GB,A,66488991,fuzzySWHighMatch1,united kingdom,"Bird_Flu_confirmed_in_1,000_UK_turkeys"
Suffolk,40.94046,-72.68524,US,A,1493350,fuzzySWHighMatch1,suffolk,"Bird_Flu_confirmed_in_1,000_UK_turkeys"
Norfolk,52.66667,1.0,GB,A,892870,fuzzySWHighMatch1,norfolk,"Bird_Flu_confirmed_in_1,000_UK_turkeys"
Weybridge,51.37178,-0.45975,GB,P,19463,fuzzySWHighMatch1,weybridge,"Bird_Flu_confirmed_in_1,000_UK_turkeys"
United Kingdom,54.75844,-2.69531,GB,A,66488991,resolvedByAliace,Uk,"Bird_Flu_confirmed_in_1,000_UK_turkeys"
Tulungagung,-8.0657,111.9025,ID,P,65262,fuzzySWHighMatch1,tulungagung,Bird_Flu_kills_40th_Indonesian
East Java,-7.7394,112.5099,ID,A,22200177,fuzzySWHighMatch2,east java,Bird_Flu_kills_40th_Indonesian
Hong Kong,22.27832,114.17469,HK,P,7482500,fuzzySWHighMatch2,hong kong,Bird_Flu_kills_40th_Indonesian
Indonesia,-5.0,120.0,ID,A,267663435,fuzzySWHighMatch1,indonesia,Bird_Flu_kills_40th_Indonesian
Krasnodar,45.04484,38.97603,RU,P,649851,fuzzySWHighMatch1,krasnodar,Bird_flu_outbreak_kills_birds_in_Krasnodar_region
Russia,60.0,100.0,RU,A,144478050,fuzzySWHighMatch1,russia,Bird_flu_outbreak_kills_birds_in_Krasnodar_region
Temryuk,45.27055,37.38716,RU,P,36546,fuzzySWHighMatch1,temryuk,Bird_flu_outbreak_kills_birds_in_Krasnodar_region
Anapa,44.89497,37.31623,RU,P,53600,fuzzySWHighMatch1,anapa,Bird_flu_outbreak_kills_birds_in_Krasnodar_region
Jakarta,-6.2182,106.8584,ID,A,9953016,fuzzySWHighMatch1,jakarta,Bird_flu_spreading_through_Indonesia_and_China
Indonesia,-5.0,120.0,ID,A,267663435,fuzzySWHighMatch1,indonesia,Bird_flu_spreading_through_Indonesia_and_China
Fujian,26.25,118.0,CN,A,36890000,fuzzySWHighMatch1,fujian,Bird_flu_spreading_through_Indonesia_and_China
China,35.0,105.0,CN,A,1411778724,fuzzySWHighMatch1,china,Bird_flu_spreading_through_Indonesia_and_China
Peru,-10.0,-75.25,PE,A,31989256,fuzzySWHighMatch2,peru,Blood_recipients_contract_HIV_in_Peru
Ipswich,-27.6779,152.66188,AU,A,183105,fuzzySWHighMatch1,ipswich,Bluetongue_disease_appears_in_UK_for_the_first_time
Suffolk,40.94046,-72.68524,US,A,1493350,fuzzySWHighMatch1,suffolk,Bluetongue_disease_appears_in_UK_for_the_first_time
France,46.0,2.0,FR,A,66987244,fuzzySWHighMatch1,france,Bluetongue_disease_appears_in_UK_for_the_first_time
Germany,51.5,10.5,DE,A,82927922,fuzzySWHighMatch1,germany,Bluetongue_disease_appears_in_UK_for_the_first_time
United Kingdom,54.75844,-2.69531,GB,A,66488991,resolvedByAliace,Uk,Bluetongue_disease_appears_in_UK_for_the_first_time
Germany,51.5,10.5,DE,A,82927922,fuzzySWHighMatch1,germany,Bluetongue_outbreak_in_Germany
Belgium,50.75,4.5,BE,A,11422068,fuzzySWHighMatch1,belgium,Bluetongue_outbreak_in_Germany
France,46.0,2.0,FR,A,66987244,fuzzySWHighMatch1,france,Bluetongue_outbreak_in_Germany
Netherlands,52.25,5.75,NL,A,17231017,fuzzySWHighMatch1,netherlands,Bluetongue_outbreak_in_Germany
Luxembourg,49.75,6.16667,LU,A,607728,fuzzySWHighMatch1,luxembourg,Bluetongue_outbreak_in_Germany
United Kingdom,54.75844,-2.69531,GB,A,66488991,resolvedByAliace,Uk,Bluetongue_outbreak_in_Germany
United States,39.76,-98.5,US,A,327167434,fuzzySWHighMatch1,united states,Britain%27s_deadly_bug_possibly_imported_from_U.S._or_Canada
Canada,60.10867,-113.64258,CA,A,37058856,fuzzySWHighMatch1,canada,Britain%27s_deadly_bug_possibly_imported_from_U.S._or_Canada
United Kingdom,54.75844,-2.69531,GB,A,66488991,fuzzySWHighMatch1,united kingdom,"Britain_unveils_flu_pandemic_preparedness_plan,_buys_14m_courses_of_treatment_drug"
Canada,60.10867,-113.64258,CA,A,37058856,fuzzySWHighMatch1,canada,"Britain_unveils_flu_pandemic_preparedness_plan,_buys_14m_courses_of_treatment_drug"
Australia,-25.0,135.0,AU,A,24992369,fuzzySWHighMatch1,australia,"Britain_unveils_flu_pandemic_preparedness_plan,_buys_14m_courses_of_treatment_drug"
United Kingdom,54.75844,-2.69531,GB,A,66488991,resolvedByAliace,Uk,"Britain_unveils_flu_pandemic_preparedness_plan,_buys_14m_courses_of_treatment_drug"
Wales,52.5,-3.5,GB,A,3113150,fuzzySWHighMatch1,wales,British_report_says_the_U.K._is_preparing_%27mass_graves%27_for_humans_if_Bird_Flu_mutates
England,52.16045,-0.70312,GB,A,56286961,fuzzySWHighMatch1,england,British_report_says_the_U.K._is_preparing_%27mass_graves%27_for_humans_if_Bird_Flu_mutates
Afghanistan,33.0,66.0,AF,A,37172386,fuzzySWHighMatch1,afghanistan,British_troops_may_have_received_contaminated_blood_from_American_donors
Iraq,33.0,44.0,IQ,A,38433600,fuzzySWHighMatch2,iraq,British_troops_may_have_received_contaminated_blood_from_American_donors
California,37.25022,-119.75126,US,A,39512223,fuzzySWHighMatch1,california,California_Senate_prohibits_sports_drinks_in_public_schools
California,37.25022,-119.75126,US,A,39512223,fuzzySWHighMatch1,california,California_company_recalls_fresh_spinach_over_salmonella_contamination
United States,39.76,-98.5,US,A,327167434,fuzzySWHighMatch1,united states,California_company_recalls_fresh_spinach_over_salmonella_contamination
Canada,60.10867,-113.64258,CA,A,37058856,fuzzySWHighMatch1,canada,California_company_recalls_fresh_spinach_over_salmonella_contamination
Canada,60.10867,-113.64258,CA,A,37058856,fuzzySWHighMatch1,canada,Canada_confirms_fifth_case_of_Mad_Cow_Disease
British Columbia,53.99983,-125.0032,CA,A,4413973,fuzzySWHighMatch1,british columbia,Canada_confirms_fifth_case_of_Mad_Cow_Disease
Fraser Valley,49.58299,-121.83587,CA,A,277000,fuzzySWHighMatch1,fraser valley,Canada_confirms_fifth_case_of_Mad_Cow_Disease
Vancouver,49.24966,-123.11934,CA,P,600000,fuzzySWHighMatch1,vancouver,Canada_confirms_fifth_case_of_Mad_Cow_Disease
United States,39.76,-98.5,US,A,327167434,fuzzySWHighMatch1,united states,Canada_confirms_fifth_case_of_Mad_Cow_Disease
Alberta,52.28333,-117.469,CA,A,3497881,fuzzySWHighMatch1,alberta,Canada_confirms_fifth_case_of_Mad_Cow_Disease
United Kingdom,54.75844,-2.69531,GB,A,66488991,fuzzySWHighMatch1,united kingdom,Canada_confirms_fifth_case_of_Mad_Cow_Disease
Norfolk,52.66667,1.0,GB,A,892870,fuzzySWHighMatch1,norfolk,Chickens_at_a_Norfolk_farm_to_be_culled_after_testing_positive_for_bird_flu
England,52.16045,-0.70312,GB,A,56286961,fuzzySWHighMatch1,england,Chickens_at_a_Norfolk_farm_to_be_culled_after_testing_positive_for_bird_flu
Netherlands,52.25,5.75,NL,A,17231017,fuzzySWHighMatch1,netherlands,Chickens_at_a_Norfolk_farm_to_be_culled_after_testing_positive_for_bird_flu
Fife,56.25,-3.16667,GB,A,370330,fuzzySWHighMatch2,fife,Chickens_at_a_Norfolk_farm_to_be_culled_after_testing_positive_for_bird_flu
United Kingdom,54.75844,-2.69531,GB,A,66488991,resolvedByAliace,Uk,Chickens_at_a_Norfolk_farm_to_be_culled_after_testing_positive_for_bird_flu
Philippi,39.15232,-80.04036,US,P,3256,fuzzySWHighMatch1,philippi,Child_abuse_case_in_West_Virginia_ends_in_jail_time
West Virginia,38.50038,-80.50009,US,A,1817871,fuzzySWHighMatch1,west virginia,Child_abuse_case_in_West_Virginia_ends_in_jail_time
United States,39.76,-98.5,US,A,327167434,fuzzySWHighMatch1,united states,Child_abuse_case_in_West_Virginia_ends_in_jail_time
China,35.0,105.0,CN,A,1411778724,fuzzySWHighMatch1,china,Child_virus_outbreak_reaches_Beijing
Beijing,39.9075,116.39723,CN,P,18960744,fuzzySWHighMatch1,beijing,Child_virus_outbreak_reaches_Beijing
Hubei,31.0,112.25,CN,A,57110000,fuzzySWHighMatch1,hubei,Child_virus_outbreak_reaches_Beijing
Anhui,31.91667,117.16667,CN,A,64610000,fuzzySWHighMatch1,anhui,Child_virus_outbreak_reaches_Beijing
Fuyang,32.9,115.81667,CN,P,1768947,fuzzySWHighMatch1,fuyang,Child_virus_outbreak_reaches_Beijing
Guangdong,23.5,113.25,CN,A,104303132,fuzzySWHighMatch1,guangdong,Child_virus_outbreak_reaches_Beijing
Guangxi,24.0,109.0,CN,A,48160000,fuzzySWHighMatch1,guangxi,Child_virus_outbreak_reaches_Beijing
Hainan,19.25,109.75,CN,A,8540000,fuzzySWHighMatch1,hainan,Child_virus_outbreak_reaches_Beijing
Hunan,27.66667,111.75,CN,A,66980000,fuzzySWHighMatch1,hunan,Child_virus_outbreak_reaches_Beijing
Zhejiang,29.16667,120.0,CN,A,51200000,fuzzySWHighMatch1,zhejiang,Child_virus_outbreak_reaches_Beijing
Bohol,9.83333,124.16667,PH,A,1394329,fuzzySWHighMatch1,bohol,Children_poisoned_by_tainted_cassava_in_the_Philippines
Mabini,13.73189,120.9126,PH,A,50858,fuzzySWHighMatch1,mabini,Children_poisoned_by_tainted_cassava_in_the_Philippines
China,35.0,105.0,CN,A,1411778724,fuzzySWHighMatch1,china,China_and_Europe_face_new_avian_flu_outbreaks
Russia,60.0,100.0,RU,A,144478050,fuzzySWHighMatch1,russia,China_and_Europe_face_new_avian_flu_outbreaks
Romania,46.0,25.0,RO,A,19473936,fuzzySWHighMatch1,romania,China_and_Europe_face_new_avian_flu_outbreaks
Hohhot,40.81056,111.65222,CN,P,2350000,fuzzySWHighMatch1,hohhot,China_and_Europe_face_new_avian_flu_outbreaks
Inner Mongolia,43.5,114.75,CN,A,24259735,fuzzySWHighMatch1,inner mongolia,China_and_Europe_face_new_avian_flu_outbreaks
Moscow,55.76167,37.60667,RU,A,11503501,fuzzySWHighMatch1,moscow,China_and_Europe_face_new_avian_flu_outbreaks
Angola,-12.5,18.5,AO,A,30809762,fuzzySWHighMatch1,angola,Cholera_outbreak_hits_Angola
Luanda,-8.91667,13.33924,AO,A,6542942,fuzzySWHighMatch1,luanda,Cholera_outbreak_hits_Angola
Texas,31.25044,-99.25061,US,A,22875689,fuzzySWHighMatch1,texas,Cities_across_Texas_increase_efforts_to_combat_mosquitos
United States,39.76,-98.5,US,A,327167434,fuzzySWHighMatch1,united states,Cities_across_Texas_increase_efforts_to_combat_mosquitos
Malakoff,48.81667,2.3,FR,A,29973,fuzzySWHighMatch1,malakoff,Cities_across_Texas_increase_efforts_to_combat_mosquitos
Dallas,32.76663,-96.77787,US,A,2368139,fuzzySWHighMatch1,dallas,Cities_across_Texas_increase_efforts_to_combat_mosquitos
Abilene,32.44874,-99.73314,US,P,121721,fuzzySWHighMatch1,abilene,Cities_across_Texas_increase_efforts_to_combat_mosquitos
Houston,29.76328,-95.36327,US,P,2296224,fuzzySWHighMatch1,houston,Cities_across_Texas_increase_efforts_to_combat_mosquitos
New Jersey,40.16706,-74.49987,US,A,8751436,fuzzySWHighMatch1,new jersey,Cities_across_Texas_increase_efforts_to_combat_mosquitos
Lubbock,33.61021,-101.82055,US,A,310639,fuzzySWHighMatch1,lubbock,Cities_across_Texas_increase_efforts_to_combat_mosquitos
Austin,30.26715,-97.74306,US,P,931830,fuzzySWHighMatch1,austin,Cities_across_Texas_increase_efforts_to_combat_mosquitos
California,37.25022,-119.75126,US,A,39512223,fuzzySWHighMatch1,california,Cities_across_Texas_increase_efforts_to_combat_mosquitos
United States,39.76,-98.5,US,A,327167434,resolvedByAliace,Us,Common_cold_virus_may_be_linked_to_childhood_obesity
Vermont,44.00034,-72.74983,US,A,624501,fuzzySWHighMatch1,vermont,Crow_found_in_Vermont_is_state%27s_first_West_Nile_case_this_year
Brattleboro,42.85092,-72.55787,US,P,7414,fuzzySWHighMatch1,brattleboro,Crow_found_in_Vermont_is_state%27s_first_West_Nile_case_this_year
Pangandaran,-6.1238,106.8235,ID,P,0,fuzzySWHighMatch1,pangandaran,Death_toll_in_Indonesian_tsunami_continues_to_rise
Indonesia,-5.0,120.0,ID,A,267663435,fuzzySWHighMatch1,indonesia,Death_toll_in_Indonesian_tsunami_continues_to_rise
United States,39.76,-98.5,US,A,327167434,resolvedByAliace,Us,Death_toll_in_Indonesian_tsunami_continues_to_rise
Algeria,28.0,3.0,DZ,A,42228429,fuzzySWHighMatch1,algeria,Detained_journalist_Mohamed_Tamalt_dies_in_Algeria
England,52.16045,-0.70312,GB,A,56286961,fuzzySWHighMatch1,england,Detained_journalist_Mohamed_Tamalt_dies_in_Algeria
London,51.50853,-0.12574,GB,P,8961989,fuzzySWHighMatch1,london,Detained_journalist_Mohamed_Tamalt_dies_in_Algeria
Algiers,36.74053,3.00957,DZ,A,2988145,fuzzySWHighMatch1,algiers,Detained_journalist_Mohamed_Tamalt_dies_in_Algeria
France,46.0,2.0,FR,A,66987244,fuzzySWHighMatch1,france,Detained_journalist_Mohamed_Tamalt_dies_in_Algeria
Mumbai,19.07283,72.88261,IN,P,12691836,fuzzySWHighMatch1,mumbai,Disease_outbreak_feared_after_mass_hysteria_over_%22sweet%22_water_in_Mumbai
India,22.0,79.0,IN,A,1352617328,fuzzySWHighMatch1,india,Disease_outbreak_feared_after_mass_hysteria_over_%22sweet%22_water_in_Mumbai
Gujarat,23.0,71.75,IN,A,60439692,fuzzySWHighMatch1,gujarat,Disease_outbreak_feared_after_mass_hysteria_over_%22sweet%22_water_in_Mumbai
Valsad,20.5,73.08333,IN,A,1705678,fuzzySWHighMatch1,valsad,Disease_outbreak_feared_after_mass_hysteria_over_%22sweet%22_water_in_Mumbai
Warab,8.13333,28.61667,SS,P,0,fuzzySWHighMatch1,warab,"Disease_scare_in_south_Sudan,_aid_groups_return"
Sudan,16.0,30.0,SD,A,41801533,fuzzySWHighMatch1,sudan,"Disease_scare_in_south_Sudan,_aid_groups_return"
Al-Fashir,13.62793,25.34936,SD,P,252609,fuzzySWHighMatch2,al-fashir,"Disease_scare_in_south_Sudan,_aid_groups_return"
Malakal,9.53342,31.66049,SS,P,160765,fuzzySWHighMatch1,malakal,"Disease_scare_in_south_Sudan,_aid_groups_return"
Khartoum,15.8,33.0,SD,A,7152102,fuzzySWHighMatch1,khartoum,"Disease_scare_in_south_Sudan,_aid_groups_return"
Nyala,12.04888,24.88069,SD,P,565734,fuzzySWHighMatch1,nyala,"Disease_scare_in_south_Sudan,_aid_groups_return"
United States,39.76,-98.5,US,A,327167434,fuzzySWHighMatch1,united states,"Drug-resistant_flu_rising,_says_WHO"
Canada,60.10867,-113.64258,CA,A,37058856,fuzzySWHighMatch1,canada,"Drug-resistant_flu_rising,_says_WHO"
Norway,62.0,10.0,NO,A,5314336,fuzzySWHighMatch1,norway,"Drug-resistant_flu_rising,_says_WHO"
Japan,35.68536,139.75309,JP,A,126529100,fuzzySWHighMatch1,japan,"Drug-resistant_flu_rising,_says_WHO"
Hong Kong,22.27832,114.17469,HK,P,7482500,fuzzySWHighMatch2,hong kong,"Drug-resistant_flu_rising,_says_WHO"
Virginia,37.54812,-77.44675,US,A,7642884,fuzzySWHighMatch1,virginia,Duck_hunters_asked_to_help_monitor_spread_of_Avian_Flu
Alaska,64.00028,-150.00028,US,A,660633,fuzzySWHighMatch1,alaska,Duck_hunters_asked_to_help_monitor_spread_of_Avian_Flu
Américas,9.89896,-83.67407,CR,P,0,fuzzySWHighMatch2,americas,Duck_hunters_asked_to_help_monitor_spread_of_Avian_Flu
Atlantic,39.46883,-74.63373,US,A,274549,fuzzySWHighMatch1,atlantic,Duck_hunters_asked_to_help_monitor_spread_of_Avian_Flu
United States,39.76,-98.5,US,A,327167434,resolvedByAliace,Us,Duck_hunters_asked_to_help_monitor_spread_of_Avian_Flu
Limburg,51.25,6.0,NL,A,1091697,fuzzySWHighMatch1,limburg,Dutch_sheep_contaminated_by_bluetongue
Netherlands,52.25,5.75,NL,A,17231017,fuzzySWHighMatch1,netherlands,Dutch_sheep_contaminated_by_bluetongue
Wisconsin,44.50024,-90.00041,US,A,5535168,fuzzySWHighMatch1,wisconsin,"E._coli_outbreak_kills_1,_sickens_nearly_100"
Michigan,44.25029,-85.50033,US,A,9883360,fuzzySWHighMatch1,michigan,"E._coli_outbreak_kills_1,_sickens_nearly_100"
Oregon,44.00013,-120.50139,US,A,3642919,fuzzySWHighMatch1,oregon,"E._coli_outbreak_kills_1,_sickens_nearly_100"
